rose
<(0, 0, 1, 0) |  white | 0  0 <- Seed>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [75 %]>
<(0, 0, 0) |   blue | 1  4 <- ((0, 0, 1), (0, 0, 1)) [25 %]>
<  Generic |   pink | 2  4 <- ((1, 1, 2), (1, 1, 2)) [31.2 %]>
<(0, 1, 1) | orange | 2  5 <- ((0, 2, 2), (0, 0, 0)) [100 %]>
<(1, 0, 1) |    red | 2  5 <- ((2, 0, 2), (0, 0, 0)) [100 %]>
<  Generic |   blue | 3  9 <- ((0, 0, 1), (0, 1, 1)) [25 %]>
<(1, 1, 1) |   pink | 2  9 <- ((0, 0, 0), (1, 1, 2)) [25 %]>
<(0, 0, 2) |  white | 2 17 <- ((1, 1, 2), (1, 1, 2)) [6.2 %]>
<(0, 1, 0) |   blue | 3 17 <- ((0, 1, 1), (0, 1, 1)) [alt:(0, 0, 0) breed with (2, 0, 2) for {pink}] [12.5 %]>
<(1, 0, 0) |   blue | 3 17 <- ((1, 0, 1), (1, 0, 1)) [alt:(0, 0, 0) breed with (0, 2, 2) for {pink}] [12.5 %]>
<(0, 1, 2) | orange | 3 18 <- ((0, 2, 2), (0, 0, 2)) [100 %]>
<(1, 0, 2) |    red | 3 18 <- ((2, 0, 2), (0, 0, 2)) [100 %]>
<(2, 0, 0) | purple | 3 21 <- ((1, 0, 1), (1, 0, 1)) [6.2 %]>
<(0, 2, 0) | orange | 4 21 <- ((0, 1, 0), (0, 1, 0)) [25 %]>
<(2, 0, 1) |    red | 4 22 <- ((2, 0, 2), (2, 0, 0)) [100 %]>
<(0, 2, 1) | orange | 5 22 <- ((0, 2, 2), (0, 2, 0)) [100 %]>
<  Generic | purple | 3 25 <- ((1, 1, 1), (1, 1, 1)) [6.2 %]>
<(1, 1, 0) |   pink | 4 39 <- ((0, 1, 0), (1, 0, 0)) [25 %]>
<(2, 1, 0) | purple | 4 46 <- ((1, 1, 1), (2, 0, 0)) [alt:(2, 0, 0) breed with (0, 0, 1) for {pink}] [12.5 %]>
<(1, 2, 1) | orange | 5 48 <- ((0, 2, 2), (2, 1, 0)) [50 %]>
<(1, 2, 0) | orange | 5 51 <- ((1, 1, 0), (1, 1, 0)) [alt:(0, 2, 0) breed with (0, 0, 1) for {pink}] [12.5 %]>
<(2, 1, 1) |    red | 6 53 <- ((2, 0, 2), (1, 2, 0)) [50 %]>
<(2, 2, 0) | purple | 6 55 <- ((1, 2, 0), (1, 2, 0)) [25 %]>
<(2, 2, 1) |   pink | 6 107 <- ((1, 2, 1), (1, 2, 0)) [12.5 %]>
