rose
<(0, 0, 1, 0) |  white | 0  0 <- Seed>
<(0, 2, 2, 0) | yellow | 0  0 <- Seed>
<(2, 0, 2, 1) |    red | 0  0 <- Seed>
<(0, 2, 1) | yellow | 6 59 <- {(0, 2, 0) - yellow | (0, 2, 2) - yellow} [100 %]>
<(1, 1, 2) | yellow | 5 62 <- {(1, 0, 2) -  white | (0, 1, 2) -  white} [25 %]>
<(2, 2, 2) | purple | 6 78 <- {(1, 1, 2) - yellow | (1, 1, 2) - yellow} [6.2 %]>
<(2, 1, 2) |    red | 6 82 <- {(1, 0, 2) -  white | (1, 1, 2) - yellow} [alt:(2, 0, 2) breed with (0, 0, 1) for {yellow}] [12.5 %]>
<(1, 2, 2) | yellow | 7 137 <- {(0, 2, 2) - yellow | (2, 2, 2) - purple} [100 %]>
*****
mum
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 2) | yellow | 0  0 <- Seed>
<(2, 0, 2) |    red | 0  0 <- Seed>
<  Generic | yellow | 1  1 <- {(0, 0, 1) -  white | (0, 2, 2) - yellow} [100 %]>
<  Generic |   pink | 1  1 <- {(0, 0, 1) -  white | (2, 0, 2) -    red} [100 %]>
<(1, 1, 2) | yellow | 1  1 <- {(0, 2, 2) - yellow | (2, 0, 2) -    red} [100 %]>
<  Generic |  white | 1  1 <- {(0, 0, 1) -  white | (0, 0, 1) -  white} [75 %]>
<(0, 0, 0) | purple | 1  4 <- {(0, 0, 1) -  white | (0, 0, 1) -  white} [25 %]>
<(1, 2, 2) | purple | 2  5 <- {(0, 2, 2) - yellow | (1, 1, 2) - yellow} [25 %]>
<(2, 1, 2) | purple | 2  5 <- {(2, 0, 2) -    red | (1, 1, 2) - yellow} [25 %]>
<(1, 0, 2) |   pink | 2  5 <- {(2, 0, 2) -    red | (1, 1, 2) - yellow} [25 %]>
<  Generic | purple | 2  5 <- {(1, 1, 2) - yellow | (1, 1, 2) - yellow} [25 %]>
<(1, 1, 1) |    red | 2  9 <- {(0, 0, 1) -  white | (1, 1, 2) - yellow} [12.5 %]>
<(0, 0, 2) |  white | 2 17 <- {(1, 1, 2) - yellow | (1, 1, 2) - yellow} [6.2 %]>
<(2, 2, 2) |  green | 2 17 <- {(1, 1, 2) - yellow | (1, 1, 2) - yellow} [6.2 %]>
<(0, 1, 1) | yellow | 1 18 <- {(0, 0, 1) -  white | (0, 2, 2) - yellow} [alt:(0, 1, 2) breed with (2, 0, 2) for {red}] [50 %]>
<(1, 0, 1) |   pink | 1 18 <- {(0, 0, 1) -  white | (2, 0, 2) -    red} [alt:(1, 0, 2) breed with (0, 2, 2) for {red}] [50 %]>
<(0, 1, 2) | yellow | 3 18 <- {(0, 2, 2) - yellow | (0, 0, 2) -  white} [100 %]>
<  Generic |    red | 2 20 <- {(2, 0, 2) -    red | (1, 0, 1) -   pink} [50 %]>
<  Generic |  green | 3 22 <- {(1, 1, 1) -    red | (1, 2, 2) - purple} [12.5 %]>
<(2, 0, 1) |    red | 2 30 <- {(2, 0, 2) -    red | (1, 0, 1) -   pink} [alt:(2, 0, 2) breed with (0, 2, 2) for {red}] [25 %]>
<(0, 1, 0) |  white | 2 34 <- {(0, 0, 0) - purple | (0, 1, 1) - yellow} [alt:(0, 0, 1) breed with (2, 0, 2) for {red}] [25 %]>
<(0, 2, 0) | yellow | 3 38 <- {(0, 1, 0) -  white | (0, 1, 0) -  white} [25 %]>
<(2, 2, 1) |  green | 3 46 <- {(1, 1, 1) -    red | (1, 2, 2) - purple} [alt:(2, 2, 2) breed with (0, 0, 1) for {pink}] [6.2 %]>
<(1, 2, 1) | purple | 2 51 <- {(0, 1, 1) - yellow | (1, 1, 2) - yellow} [alt:(1, 2, 2) breed with (0, 0, 1) for {white,pink}] [6.2 %]>
<(2, 1, 1) | purple | 2 51 <- {(1, 0, 1) -   pink | (1, 1, 2) - yellow} [alt:(2, 1, 2) breed with (0, 2, 2) for {red}] [6.2 %]>
<(1, 1, 0) |   pink | 3 59 <- {(0, 0, 1) -  white | (1, 2, 1) - purple} [12.5 %]>
<(0, 2, 1) | yellow | 3 63 <- {(0, 2, 2) - yellow | (1, 2, 1) - purple} [alt:(0, 2, 2) breed with (2, 0, 2) for {red}] [25 %]>
<(2, 2, 0) |    red | 3 67 <- {(1, 2, 1) - purple | (1, 2, 1) - purple} [6.2 %]>
<(1, 2, 0) | purple | 4 68 <- {(1, 1, 0) -   pink | (1, 1, 0) -   pink} [alt:(0, 0, 0) breed with (2, 0, 2) for {purple,red} not {purple,red}] [12.5 %]>
<(2, 1, 0) |    red | 4 80 <- {(2, 0, 1) -    red | (2, 2, 1) -  green} [25 %]>
*****
windflower
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 2) | orange | 0  0 <- Seed>
<(2, 0, 2) |    red | 0  0 <- Seed>
<  Generic | orange | 1  1 <- {(0, 0, 1) -  white | (0, 2, 2) - orange} [100 %]>
<  Generic |    red | 1  1 <- {(0, 0, 1) -  white | (2, 0, 2) -    red} [100 %]>
<(1, 1, 2) |   pink | 1  1 <- {(0, 2, 2) - orange | (2, 0, 2) -    red} [100 %]>
<  Generic |  white | 1  1 <- {(0, 0, 1) -  white | (0, 0, 1) -  white} [75 %]>
<(0, 0, 0) |   blue | 1  4 <- {(0, 0, 1) -  white | (0, 0, 1) -  white} [25 %]>
<  Generic |   pink | 2  4 <- {(1, 1, 2) -   pink | (1, 1, 2) -   pink} [31.2 %]>
<(1, 1, 1) |   pink | 2  9 <- {(0, 0, 0) -   blue | (1, 1, 2) -   pink} [25 %]>
<(0, 0, 2) |  white | 2 17 <- {(1, 1, 2) -   pink | (1, 1, 2) -   pink} [6.2 %]>
<(0, 1, 1) | orange | 1 18 <- {(0, 0, 1) -  white | (0, 2, 2) - orange} [alt:(0, 1, 2) breed with (0, 0, 1) for {blue}] [50 %]>
<(1, 0, 1) |    red | 1 18 <- {(0, 0, 1) -  white | (2, 0, 2) -    red} [alt:(1, 0, 2) breed with (0, 0, 1) for {blue}] [50 %]>
<(0, 1, 2) | orange | 3 18 <- {(0, 2, 2) - orange | (0, 0, 2) -  white} [100 %]>
<(1, 0, 2) |    red | 3 18 <- {(2, 0, 2) -    red | (0, 0, 2) -  white} [100 %]>
<  Generic |   blue | 2 22 <- {(0, 0, 1) -  white | (0, 1, 1) - orange} [25 %]>
<  Generic | purple | 3 25 <- {(1, 1, 1) -   pink | (1, 1, 1) -   pink} [6.2 %]>
<(0, 1, 0) |   blue | 2 34 <- {(0, 0, 1) -  white | (0, 1, 1) - orange} [alt:(0, 0, 0) breed with (2, 0, 2) for {pink}] [12.5 %]>
<(1, 0, 0) |   blue | 2 34 <- {(0, 0, 1) -  white | (1, 0, 1) -    red} [alt:(0, 0, 0) breed with (0, 2, 2) for {pink}] [12.5 %]>
<(2, 0, 0) | purple | 2 34 <- {(1, 0, 1) -    red | (1, 0, 1) -    red} [6.2 %]>
<(2, 0, 1) |    red | 3 35 <- {(2, 0, 2) -    red | (2, 0, 0) - purple} [100 %]>
<(0, 2, 0) | orange | 3 38 <- {(0, 1, 0) -   blue | (0, 1, 0) -   blue} [25 %]>
<(0, 2, 1) | orange | 4 39 <- {(0, 2, 2) - orange | (0, 2, 0) - orange} [100 %]>
<(2, 1, 0) | purple | 3 67 <- {(1, 0, 1) -    red | (1, 1, 1) -   pink} [alt:(2, 0, 0) breed with (0, 0, 1) for {pink}] [3.1 %]>
<(1, 2, 1) | orange | 4 69 <- {(0, 2, 2) - orange | (2, 1, 0) - purple} [50 %]>
<(1, 1, 0) |   pink | 3 70 <- {(0, 1, 0) -   blue | (2, 0, 0) - purple} [50 %]>
<(2, 1, 1) |    red | 4 77 <- {(2, 0, 2) -    red | (2, 1, 0) - purple} [alt:(2, 0, 1) breed with (0, 0, 1) for {pink}] [50 %]>
<(2, 2, 0) | purple | 5 85 <- {(1, 2, 1) - orange | (1, 2, 1) - orange} [6.2 %]>
<(1, 2, 0) | orange | 4 105 <- {(0, 1, 0) -   blue | (2, 1, 0) - purple} [25 %]>
<(2, 2, 1) |   pink | 5 152 <- {(2, 1, 0) - purple | (2, 1, 1) -    red} [12.5 %]>
